Shift,AUROC,AUROC_std,F1,F1_std
Baseline,0.990466871680179,0.0,0.8873239436619719,0.0
Noise sigma=0.05,0.9905390923492684,2.9283862384580573e-05,0.8770677598263806,0.005729150674672807
Noise sigma=0.1,0.9907254682694996,0.00010568722600140241,0.8770964869677838,0.007639999928649359
Noise sigma=0.2,0.9907534246575342,7.2856657213255e-05,0.8791941795059918,0.010491822818936448
Scale x1.05,0.9904808498741962,0.0,0.863013698630137,0.0
Scale x1.1,0.9905088062622309,0.0,0.8456375838926175,0.0
Missing 5%,0.9906159724163639,0.00023765213738341905,0.8811476082602843,0.0050312699379218406
Missing 10%,0.9904505637871588,0.00014541502687842958,0.8915193287383877,0.0029665852372225167
Missing 20%,0.990695182182462,0.00048058477528381484,0.9045873046953131,0.006763887343308467
Time warp 10%,0.9857958251793869,0.0008772979554020221,0.8721735395465067,0.008123585787164564
Mean shift +0.5,0.9831143416270618,0.0,0.228125,0.0
Variance x1.5,0.9905926754263349,0.0,0.757396449704142,0.0
Outliers 5%,0.9848033734041562,0.0018153842204925484,0.7838175161462834,0.010009931710349801
Combined LOW,0.9897772807753239,0.0005382764378586198,0.6736055517656117,0.007466486370254602
Combined MEDIUM,0.9898075668623614,0.000289032940439334,0.7078246715498198,0.019073220931900847
Combined HIGH,0.9901174168297455,0.0009977695857132187,0.7513940836450187,0.008966132315220046
