Shift,AUROC,AUROC_std,F1,F1_std
Baseline,0.9743989376572546,0.0,0.8345323741007195,0.0
Noise sigma=0.05,0.974098406485882,3.563754202957383e-05,0.8333333333333334,0.006734350297014714
Noise sigma=0.1,0.9740028888267634,0.0005391529542801856,0.8361651104648197,0.010718557231686032
Noise sigma=0.2,0.9737023576553909,0.0003689613677500165,0.8434435644761501,0.007526792982833644
Scale x1.05,0.9746924797316187,0.0,0.8251748251748253,1.1102230246251565e-16
Scale x1.1,0.9749231199329046,0.0,0.8163265306122449,0.0
Missing 5%,0.9736301369863014,0.0004658116495093828,0.8369772641945809,0.0035676547772324546
Missing 10%,0.9722229987885566,0.000988182414911634,0.8472539226985454,0.0044401063905886145
Missing 20%,0.9698932997856676,0.0008364819875487182,0.8505232547016396,0.015313950454440907
Time warp 10%,0.9730127667505357,0.0019134503079018522,0.8302481556002683,0.010609217828185738
Mean shift +0.5,0.9747973161867488,1.1102230246251565e-16,0.10541516245487365,0.0
Variance x1.5,0.9754263349175286,0.0,0.6961325966850828,1.1102230246251565e-16
Outliers 5%,0.958526698350573,0.006159249218034802,0.7396428031729201,0.036182486003559784
Combined LOW,0.9766447674960395,0.0009965176854176297,0.636509821836455,0.0027919527766649384
Combined MEDIUM,0.9767193178641319,0.0015667533242394503,0.6507636266483589,0.009684549696619754
Combined HIGH,0.9764793588668343,0.0009976607871800425,0.6822949243474902,0.02282569973469799
