Shift,AUROC,AUROC_std,F1,F1_std
Baseline,0.8916480290746437,0.0,0.4642857142857143,0.0
Noise sigma=0.05,0.8878389712049204,0.014054468766704787,0.46225776259548246,0.005221358769679265
Noise sigma=0.1,0.8767496039511694,0.004296645876866531,0.4506193161048772,0.006961397434335773
Noise sigma=0.2,0.8881627993663219,0.015438684148555723,0.4651890252503879,0.011536351298378258
Scale x1.05,0.8914872798434444,1.1102230246251565e-16,0.45774647887323944,0.0
Scale x1.1,0.8913894324853228,0.0,0.4529616724738676,0.0
Missing 5%,0.8685001397819402,0.0003461308691523931,0.45568612854858204,0.009835776834438223
Missing 10%,0.8764350945857795,0.011390380413399752,0.4764549105340941,0.012635827962211705
Missing 20%,0.8600060572174075,0.02088114375774701,0.45980970958070194,0.0042614672469905145
Time warp 10%,0.7117731339110986,0.03417172768550803,0.3603206865401987,0.03110183302579085
Mean shift +0.5,0.9793751747274252,0.0,0.28076923076923077,0.0
Variance x1.5,0.9116019010343863,0.0,0.4281150159744409,0.0
Outliers 5%,0.8127667505358307,0.03033445257492898,0.47561993789763973,0.0025380027096563356
Combined LOW,0.9315790699841581,0.01933221319881595,0.3905594924475449,0.010593134924655792
Combined MEDIUM,0.9199329046687167,0.005388344501056989,0.38447177581974556,0.0028257898002705274
Combined HIGH,0.9250302860870375,0.015583324413642076,0.38407330535960654,0.0035042967386398186
